age,marital,housing,loan,contact,month,day_of_week,duration,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,job_admin.,job_blue-collar,job_management,job_other,job_services,job_technician,education_basic.9y,education_high.school,education_other,education_professional.course,education_university.degree
29,0,1,0,0,6,2,201.0,1,0,-1.7,94.055,-39.8,0.702,4991.6,1,1,0,0,0,0,0,0,0,0,0,1
25,0,1,0,1,5,3,153.0,3,0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,1,0,1,0,0,0
24,0,1,0,0,7,3,165.0,2,0,1.4,93.918,-42.7,4.963,5228.1,0,1,0,0,0,0,0,0,0,1,0,0
45,0,1,0,0,11,1,213.0,2,0,-0.1,93.2,-42.0,4.191,5195.8,1,0,1,0,0,0,0,0,0,1,0,0
52,0,1,1,0,4,4,449.0,2,0,-1.8,93.075,-47.1,1.41,5099.1,0,0,0,0,1,0,0,0,0,1,0,0
53,0,1,0,1,6,2,119.0,4,0,1.4,94.465,-41.8,4.864,5228.1,0,0,0,0,1,0,0,0,0,0,0,1
38,0,0,0,0,7,2,165.0,1,0,1.4,93.918,-42.7,4.962,5228.1,0,0,1,0,0,0,0,0,1,0,0,0
39,0,0,0,1,5,5,197.0,12,0,1.1,93.994,-36.4,4.864,5191.0,0,0,0,0,0,0,1,0,0,0,1,0
23,1,0,0,0,5,4,361.0,2,0,-1.8,92.893,-46.2,1.27,5099.1,0,0,0,0,1,0,0,0,1,0,0,0
40,2,0,0,1,7,4,343.0,2,0,1.4,93.918,-42.7,4.966,5228.1,0,1,0,0,0,0,0,0,0,0,1,0
27,0,1,0,0,5,4,143.0,1,0,-1.8,92.893,-46.2,1.266,5099.1,0,1,0,0,0,0,0,0,0,0,1,0
52,0,1,0,1,5,5,346.0,3,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,0,0,0,1,0,0,0,0
37,0,1,0,1,5,4,362.0,2,0,1.1,93.994,-36.4,4.86,5191.0,1,1,0,0,0,0,0,0,0,0,0,1
32,2,1,0,0,7,4,207.0,1,0,1.4,93.918,-42.7,4.963,5228.1,0,0,0,0,0,1,0,0,1,0,0,0
48,0,0,1,0,8,5,295.0,2,2,-2.9,92.201,-31.4,0.881,5076.2,1,0,0,0,1,0,0,0,0,0,0,1
49,0,0,0,1,5,2,95.0,1,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,0,0,0,0,1,0,0
31,1,0,0,0,11,2,110.0,1,1,-0.1,93.2,-42.0,4.153,5195.8,0,0,0,0,0,0,1,0,0,0,0,1
31,1,0,0,0,5,5,325.0,1,0,-1.8,92.893,-46.2,1.25,5099.1,0,0,1,0,0,0,0,0,1,0,0,0
37,0,1,0,0,7,4,56.0,3,0,1.4,93.918,-42.7,4.968,5228.1,0,1,0,0,0,0,0,0,1,0,0,0
45,0,0,0,0,5,2,207.0,1,1,-1.8,92.893,-46.2,1.291,5099.1,0,0,0,0,0,1,0,0,0,1,0,0
37,0,0,0,0,4,5,292.0,2,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,0,0,0,0,1,0,0,0,1,0
52,0,1,0,1,6,1,76.0,2,0,1.4,94.465,-41.8,4.865,5228.1,0,0,0,0,1,0,0,0,0,0,0,1
48,2,1,0,1,5,1,178.0,1,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,0,0,0,0,1,0,0
48,0,0,1,1,6,3,116.0,1,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,0,0,0,1,0,0,0,0
57,0,1,1,0,11,5,134.0,2,0,-0.1,93.2,-42.0,4.021,5195.8,0,0,1,0,0,0,0,1,0,0,0,0
50,0,0,1,0,7,1,141.0,6,0,1.4,93.918,-42.7,4.96,5228.1,0,0,1,0,0,0,0,0,0,1,0,0
30,1,1,0,0,5,3,68.0,2,1,-1.8,92.893,-46.2,1.281,5099.1,0,0,1,0,0,0,0,1,0,0,0,0
33,1,1,0,0,8,4,381.0,3,0,1.4,93.444,-36.1,4.963,5228.1,0,1,0,0,0,0,0,0,1,0,0,0
45,2,1,0,1,5,3,455.0,3,0,1.1,93.994,-36.4,4.859,5191.0,0,0,1,0,0,0,0,1,0,0,0,0
44,0,1,1,0,8,3,376.0,2,0,1.4,93.444,-36.1,4.967,5228.1,0,1,0,0,0,0,0,0,0,0,0,1
52,2,0,0,1,6,2,69.0,4,0,1.4,94.465,-41.8,4.961,5228.1,0,0,0,0,1,0,0,0,0,1,0,0
31,0,0,0,0,5,5,182.0,1,0,-1.8,92.893,-46.2,1.313,5099.1,0,0,0,0,1,0,0,0,0,0,0,1
33,0,1,1,0,5,3,85.0,2,1,-1.8,92.893,-46.2,1.281,5099.1,0,1,0,0,0,0,0,0,1,0,0,0
39,0,1,0,0,5,4,112.0,4,0,-1.8,92.893,-46.2,1.266,5099.1,0,1,0,0,0,0,0,0,1,0,0,0
55,0,1,0,0,8,1,232.0,5,0,1.4,93.444,-36.1,4.965,5228.1,0,0,0,0,1,0,0,0,0,1,0,0
31,0,1,0,0,6,1,388.0,1,0,-2.9,92.963,-40.8,1.266,5076.2,0,0,1,0,0,0,0,1,0,0,0,0
34,1,0,0,1,5,1,66.0,3,0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,1,0,0,0,0,1
31,0,1,0,1,8,5,43.0,1,0,1.4,93.444,-36.1,4.963,5228.1,0,1,0,0,0,0,0,0,0,0,0,1
38,0,0,0,1,6,5,86.0,3,0,1.4,94.465,-41.8,4.959,5228.1,1,0,1,0,0,0,0,1,0,0,0,0
41,1,1,0,1,5,3,92.0,1,0,1.1,93.994,-36.4,4.856,5191.0,0,1,0,0,0,0,0,0,0,1,0,0
