# Option 7. Preprocessing description: encoding only, imputing, no cutoff, drop high corr
age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,cons.price.idx,cons.conf.idx,euribor3m,y
50,1.0,2.0,0.0,0,0,0,0,5,4,2,-1,0,0,93.994,-36.4,4.86,0
51,7.0,1.0,5.0,0,0,0,0,5,1,5,-1,0,0,93.994,-36.4,4.858,0
46,9.0,0.0,5.0,0,1,0,1,5,1,2,-1,0,0,92.893,-46.2,1.244,0
46,0.0,2.0,6.0,0,1,0,0,6,1,1,-1,0,0,94.465,-41.8,4.961,0
25,7.0,2.0,3.0,0,0,0,1,5,4,5,-1,0,0,92.893,-46.2,1.266,1
52,9.0,1.0,1.0,0,0,0,1,5,4,3,-1,1,-1,92.893,-46.2,1.266,0
29,9.0,2.0,6.0,0,1,0,1,6,3,1,-1,0,0,92.963,-40.8,1.26,0
42,9.0,1.0,5.0,0,0,0,1,7,1,3,-1,0,0,93.918,-42.7,4.96,0
52,0.0,1.0,0.0,0,1,1,1,11,1,3,-1,0,0,93.2,-42.0,4.191,0
47,3.0,1.0,0.0,0,1,0,1,11,3,1,-1,0,0,93.2,-42.0,4.12,0
40,9.0,1.0,2.0,0,1,0,1,7,4,1,-1,0,0,93.918,-42.7,4.963,0
54,4.0,1.0,3.0,0,0,0,1,8,3,3,-1,1,-1,94.027,-38.3,0.894,0
50,4.0,1.0,6.0,0,1,0,0,5,3,2,-1,0,0,93.994,-36.4,4.857,0
44,1.0,1.0,2.0,0,1,0,1,7,1,2,-1,0,0,93.918,-42.7,4.96,0
38,1.0,1.0,2.0,0,0,1,1,4,5,2,-1,2,-1,93.075,-47.1,1.405,0
47,1.0,1.0,1.0,0,1,0,0,5,5,1,-1,0,0,93.994,-36.4,4.857,1
31,4.0,1.0,6.0,0,0,0,1,8,1,4,-1,0,0,93.444,-36.1,4.965,0
49,7.0,1.0,3.0,0,1,0,1,5,4,1,-1,0,0,92.893,-46.2,1.266,0
40,9.0,1.0,5.0,0,1,1,1,7,3,1,-1,0,0,93.918,-42.7,4.962,0
36,1.0,1.0,2.0,0,0,0,1,5,4,2,-1,0,0,92.893,-46.2,1.327,0
27,0.0,2.0,3.0,0,1,1,1,5,1,1,-1,0,0,92.893,-46.2,1.299,0
44,1.0,1.0,5.0,0,0,0,1,7,2,11,-1,0,0,93.918,-42.7,4.961,0
41,9.0,2.0,5.0,0,1,0,1,8,2,1,-1,0,0,93.444,-36.1,4.968,0
46,7.0,1.0,3.0,0,1,0,1,4,3,2,-1,0,0,93.075,-47.1,1.445,0
40,1.0,1.0,2.0,0,0,0,1,4,4,1,-1,0,0,93.075,-47.1,1.365,1
30,6.0,1.0,5.0,0,0,0,0,5,2,2,-1,0,0,93.994,-36.4,4.856,0
34,9.0,1.0,6.0,0,0,0,1,7,4,1,-1,0,0,93.918,-42.7,4.963,0
45,1.0,2.0,3.0,0,1,0,1,5,1,6,-1,1,-1,92.893,-46.2,1.244,0
50,3.0,1.0,0.0,0,0,0,1,8,2,3,-1,0,0,93.444,-36.1,4.965,0
33,9.0,2.0,2.0,0,0,0,1,9,5,2,-1,0,0,92.379,-29.8,0.741,0
46,1.0,1.0,2.0,0,1,1,0,5,5,3,-1,0,0,93.994,-36.4,4.855,0
38,9.0,2.0,6.0,0,0,0,0,6,1,6,-1,0,0,94.465,-41.8,4.865,0
24,0.0,2.0,5.0,0,1,0,1,4,1,1,-1,0,0,93.075,-47.1,1.405,1
41,4.0,1.0,6.0,0,1,0,1,8,4,1,-1,0,0,93.444,-36.1,4.964,0
57,5.0,0.0,6.0,0,0,0,0,7,2,2,-1,0,0,93.918,-42.7,4.955,0
27,0.0,2.0,5.0,0,1,1,0,4,4,3,-1,0,0,93.075,-47.1,1.365,0
55,9.0,1.0,2.0,0,0,0,1,5,1,1,-1,0,0,92.893,-46.2,1.354,0
56,5.0,1.0,1.0,0,1,0,0,5,3,3,-1,0,0,93.994,-36.4,4.857,0
51,0.0,1.0,6.0,0,1,1,1,11,5,3,-1,1,-1,93.2,-42.0,4.021,0
30,0.0,2.0,6.0,0,1,0,1,7,2,3,-1,0,0,93.918,-42.7,4.961,0
36,7.0,1.0,3.0,0,1,0,0,5,4,1,-1,0,0,93.994,-36.4,4.86,0
32,6.0,2.0,3.0,0,1,0,1,11,1,1,-1,1,-1,93.2,-42.0,4.191,0
32,0.0,1.0,6.0,0,1,0,0,5,4,1,-1,0,0,93.994,-36.4,4.86,0
41,9.0,1.0,5.0,0,0,0,0,5,1,1,-1,0,0,93.994,-36.4,4.857,0
44,1.0,1.0,1.0,0,0,0,1,11,3,3,-1,0,0,93.2,-42.0,4.12,0
32,9.0,1.0,6.0,0,1,0,1,11,3,1,-1,0,0,93.2,-42.0,4.12,0
49,0.0,0.0,5.0,0,1,1,1,8,1,1,-1,0,0,93.444,-36.1,4.97,0
66,5.0,1.0,0.0,0,1,0,1,7,1,7,-1,0,0,94.215,-40.3,0.87,1
47,0.0,1.0,6.0,0,1,1,1,12,1,5,-1,0,0,92.713,-33.0,0.717,0
43,9.0,2.0,5.0,0,1,0,1,7,2,1,-1,0,0,93.918,-42.7,4.962,0
46,9.0,1.0,5.0,0,1,1,1,9,4,2,-1,1,-1,92.379,-29.8,0.809,0
55,5.0,1.0,2.0,0,1,0,1,7,4,8,-1,0,0,93.918,-42.7,4.968,0
44,0.0,1.0,6.0,0,0,0,1,8,3,2,4,1,1,92.201,-31.4,0.879,0
56,1.0,1.0,2.0,0,1,0,1,11,4,1,-1,1,-1,93.2,-42.0,4.076,1
38,1.0,2.0,1.0,0,1,1,1,5,3,1,-1,1,-1,92.893,-46.2,1.281,0
29,6.0,2.0,6.0,0,0,1,0,11,1,1,-1,0,0,93.2,-42.0,4.191,0
42,2.0,1.0,6.0,0,1,0,1,7,4,4,-1,0,0,93.918,-42.7,4.962,1
34,0.0,1.0,6.0,0,1,0,0,6,1,2,-1,0,0,94.465,-41.8,4.961,0
33,1.0,1.0,2.0,0,1,0,0,5,4,5,-1,0,0,92.893,-46.2,1.266,0
54,0.0,0.0,3.0,0,0,1,1,11,5,1,-1,0,0,93.2,-42.0,4.021,0
44,9.0,1.0,5.0,0,1,0,1,4,3,1,-1,1,-1,93.075,-47.1,1.415,0
43,0.0,2.0,6.0,0,1,0,1,8,3,5,-1,0,0,93.444,-36.1,4.964,0
59,5.0,0.0,6.0,0,0,0,1,7,2,2,-1,0,0,93.918,-42.7,4.961,0
32,9.0,1.0,5.0,0,1,0,1,5,1,1,-1,0,0,92.893,-46.2,1.299,0
41,0.0,0.0,6.0,0,0,0,1,4,2,4,-1,0,0,93.075,-47.1,1.423,0
39,7.0,2.0,2.0,0,1,0,1,4,1,2,-1,0,0,93.075,-47.1,1.405,0
30,9.0,2.0,6.0,0,0,1,1,11,4,4,-1,0,0,93.2,-42.0,4.076,0
30,4.0,1.0,6.0,0,1,0,0,3,1,7,-1,0,0,92.843,-50.0,1.811,0
34,1.0,2.0,2.0,0,0,0,1,5,1,2,-1,1,-1,92.893,-46.2,1.299,0
31,9.0,1.0,6.0,0,1,1,1,8,3,2,-1,0,0,93.444,-36.1,4.964,0
33,1.0,1.0,1.0,0,0,0,0,5,3,2,-1,0,0,93.994,-36.4,4.858,0
31,0.0,2.0,6.0,0,0,0,1,11,4,2,-1,0,0,93.2,-42.0,4.076,0
30,9.0,2.0,5.0,0,0,0,1,9,2,1,-1,5,-1,94.199,-37.5,0.877,0
41,9.0,1.0,5.0,0,0,0,0,5,1,3,-1,0,0,93.994,-36.4,4.857,0
59,1.0,1.0,0.0,0,1,0,1,8,3,2,-1,0,0,93.444,-36.1,4.965,0
40,0.0,0.0,6.0,0,0,0,1,8,1,1,-1,0,0,93.444,-36.1,4.965,0
