dataset_option,dataset_type,model_type,features,recall_mean,recall_std,accuracy,recall,precision,f1,auc
opt1,train,logistic_regression,original,,,0.7173875342513267,0.7028940886699507,0.2411789562645256,0.3591316658801321,0.7110608503780508
opt1,test,logistic_regression,original,,,0.7258234199239297,0.7313218390804598,0.2524801587301587,0.3753687315634218,0.728223619038634
opt1,train,sgd,original,,,0.7674031424508342,0.6653325123152709,0.2777634961439588,0.3919114980050779,0.7228472357143725
opt1,test,sgd,original,,,0.7737314882252974,0.6968390804597702,0.2900717703349282,0.4096283783783783,0.7401660062581569
opt1,train,decision_tree,original,,,0.9185945683465714,0.39685960591133,0.7686344663088849,0.5234517766497462,0.6908466422630176
opt1,test,decision_tree,original,,,0.8953629521728574,0.2859195402298851,0.5710186513629842,0.3810435615126855,0.62932547918927
opt1,train,random_forest,original,,,0.7898442648538032,0.6527093596059114,0.3006665721174301,0.4116904553840179,0.7299820886291293
opt1,test,random_forest,original,,,0.7944484907339969,0.6781609195402298,0.310935441370224,0.4263775971093044,0.7436860229256097
opt1,train,knn,original,,,0.9898373278762445,0.9559729064039408,0.9539170506912442,0.9549438720590496,0.9750548189135756
opt1,test,knn,original,,,0.8537670955733593,0.3254310344827586,0.3429220287660863,0.3339476594176188,0.6231350338852462
opt2,train,logistic_regression,original,,,0.7038951128993097,0.7130541871921182,0.2334442092530995,0.3517351355455995,0.7078932351744511
opt2,test,logistic_regression,original,,,0.709881039087157,0.7370689655172413,0.2416961130742049,0.3640234167110165,0.7217492570404265
opt2,train,sgd,original,,,0.7695536054940862,0.6237684729064039,0.2720193340494092,0.3788332086761406,0.7059154290420305
opt2,test,sgd,original,,,0.773407785061099,0.6451149425287356,0.2802746566791511,0.3907745865970409,0.7174047124864379
opt2,train,decision_tree,original,,,0.9237973015157296,0.4248768472906404,0.807489760093622,0.5567883800685899,0.7060083724394413
opt2,test,decision_tree,original,,,0.8893744436351866,0.2693965517241379,0.5172413793103449,0.3542749173358526,0.6187384035410476
opt2,train,random_forest,original,,,0.7917172487947002,0.6483990147783252,0.3021954369349978,0.4122540863267104,0.7291559237594084
opt2,test,random_forest,original,,,0.7963097839281379,0.6738505747126436,0.3125624791736088,0.4270430229911222,0.7428532399327011
opt2,train,knn,original,,,0.9898373278762445,0.9559729064039408,0.9539170506912442,0.9549438720590496,0.9750548189135756
opt2,test,knn,original,,,0.8520676539613175,0.3232758620689655,0.3368263473053892,0.3299120234604106,0.6212366542446971
opt3,train,logistic_regression,original,,,0.7024383476119455,0.7130541871921182,0.2324601023788015,0.3506169101506321,0.7070723775737006
opt3,test,logistic_regression,original,,,0.7072104879825201,0.7370689655172413,0.2398316970546984,0.3619047619047619,0.72024446907873
opt3,train,sgd,original,,,0.8254309597308452,0.6068349753694581,0.3441592456783656,0.4392200557103063,0.7300093651033273
opt3,test,sgd,original,,,0.829489358258477,0.6285919540229885,0.3549695740365111,0.4537205081669692,0.741792557038854
opt3,train,decision_tree,original,,,0.9071485553744234,0.3152709359605911,0.6932972241029113,0.4334391534391534,0.6487819324293438
opt3,test,decision_tree,original,,,0.897952577486445,0.2701149425287356,0.605475040257649,0.3735717834078489,0.6238855606396528
opt3,train,random_forest,original,,,0.811279525510735,0.6480911330049262,0.3287521474308917,0.4362242254688633,0.7400444720256621
opt3,test,random_forest,original,,,0.8158938253621429,0.673132183908046,0.3398621690243018,0.4516751024343215,0.7535747558847116
opt3,train,knn,original,,,0.9733273212861157,0.875,0.8867394695787831,0.8808306214163955,0.930405445022085
opt3,test,knn,original,,,0.8539289471554584,0.3275862068965517,0.3441509433962264,0.3356643356643357,0.6241670204569397
opt4,train,logistic_regression,original,,,0.7173875342513267,0.7028940886699507,0.2411789562645256,0.3591316658801321,0.7110608503780508
opt4,test,logistic_regression,original,,,0.7258234199239297,0.7313218390804598,0.2524801587301587,0.3753687315634218,0.728223619038634
opt4,train,sgd,original,,,0.6829454406714994,0.7062807881773399,0.2188722450147886,0.3341831160317576,0.6931317946280906
opt4,test,sgd,original,,,0.6906207008173505,0.7349137931034483,0.2285012285012285,0.3486113477594139,0.7099557565608441
opt4,train,decision_tree,original,,,0.925531545905449,0.4288793103448275,0.8267062314540059,0.5647678897222784,0.7087327404243389
